home_elo,away_elo,elo_diff,tournament,neutral,is_world_cup,match_result,date,year
1502.0,1443.0,59.0,Friendly,False,False,home_win,1994-03-19,1994
1894.0,1776.0,118.0,Friendly,False,False,home_win,1994-03-22,1994
1606.0,1723.0,-117.0,Friendly,False,False,draw,1994-03-23,1994
1928.0,1972.0,-44.0,Friendly,False,False,home_win,1994-03-23,1994
1995.0,1982.0,13.0,Friendly,False,False,home_win,1994-03-23,1994
1666.0,1797.0,-131.0,Friendly,False,False,draw,1994-03-23,1994
1887.0,1881.0,6.0,Friendly,False,False,draw,1994-03-23,1994
1177.0,1573.0,-396.0,Friendly,False,False,away_win,1994-03-23,1994
1664.0,1823.0,-159.0,Friendly,False,False,home_win,1994-03-23,1994
1786.0,1956.0,-170.0,Friendly,False,False,away_win,1994-03-23,1994
1830.0,1887.0,-57.0,Friendly,False,False,away_win,1994-03-23,1994
1490.0,1776.0,-286.0,Friendly,False,False,away_win,1994-03-26,1994
1622.0,1443.0,179.0,African Cup of Nations,True,False,home_win,1994-03-26,1994
1694.0,1713.0,-19.0,Friendly,False,False,draw,1994-03-26,1994
1540.0,1501.0,39.0,African Cup of Nations,False,False,away_win,1994-03-26,1994
1622.0,1461.0,161.0,African Cup of Nations,True,False,home_win,1994-03-27,1994
1648.0,1390.0,258.0,African Cup of Nations,True,False,home_win,1994-03-27,1994
1663.0,1443.0,220.0,African Cup of Nations,True,False,home_win,1994-03-28,1994
1501.0,1681.0,-180.0,African Cup of Nations,True,False,away_win,1994-03-28,1994
1452.0,1461.0,-9.0,African Cup of Nations,True,False,home_win,1994-03-29,1994
1588.0,1390.0,198.0,African Cup of Nations,True,False,draw,1994-03-29,1994
1377.0,1664.0,-287.0,Friendly,False,False,away_win,1994-03-30,1994
1622.0,1663.0,-41.0,African Cup of Nations,True,False,draw,1994-03-30,1994
1540.0,1681.0,-141.0,African Cup of Nations,False,False,draw,1994-03-30,1994
1622.0,1452.0,170.0,African Cup of Nations,True,False,home_win,1994-03-31,1994
1588.0,1648.0,-60.0,African Cup of Nations,True,False,home_win,1994-03-31,1994
1681.0,1622.0,59.0,African Cup of Nations,True,False,away_win,1994-04-02,1994
1663.0,1501.0,162.0,African Cup of Nations,True,False,away_win,1994-04-02,1994
1622.0,1648.0,-26.0,African Cup of Nations,True,False,away_win,1994-04-03,1994
1588.0,1452.0,136.0,African Cup of Nations,True,False,home_win,1994-04-03,1994
1588.0,1501.0,87.0,African Cup of Nations,True,False,home_win,1994-04-06,1994
1622.0,1648.0,-26.0,African Cup of Nations,True,False,draw,1994-04-06,1994
1412.0,1360.0,52.0,CFU Caribbean Cup,True,False,home_win,1994-04-07,1994
1038.0,1589.0,-551.0,CFU Caribbean Cup,True,False,away_win,1994-04-07,1994
1872.0,1713.0,159.0,Friendly,False,False,away_win,1994-04-07,1994
1412.0,1589.0,-177.0,CFU Caribbean Cup,True,False,home_win,1994-04-09,1994
1360.0,1038.0,322.0,CFU Caribbean Cup,True,False,home_win,1994-04-09,1994
1648.0,1501.0,147.0,African Cup of Nations,True,False,home_win,1994-04-10,1994
1622.0,1588.0,34.0,African Cup of Nations,True,False,home_win,1994-04-10,1994
1412.0,1038.0,374.0,CFU Caribbean Cup,True,False,draw,1994-04-11,1994
1360.0,1589.0,-229.0,CFU Caribbean Cup,True,False,draw,1994-04-11,1994
1644.0,1509.0,135.0,Friendly,False,False,home_win,1994-04-11,1994
1797.0,1490.0,307.0,Friendly,True,False,home_win,1994-04-13,1994
1644.0,1612.0,32.0,Friendly,False,False,home_win,1994-04-13,1994
1196.0,1509.0,-313.0,Friendly,True,False,away_win,1994-04-13,1994
1412.0,1347.0,65.0,CFU Caribbean Cup,True,False,home_win,1994-04-14,1994
1402.0,1360.0,42.0,CFU Caribbean Cup,False,False,home_win,1994-04-14,1994
1612.0,1509.0,103.0,Friendly,True,False,draw,1994-04-15,1994
1872.0,1622.0,250.0,Friendly,False,False,home_win,1994-04-17,1994
1347.0,1360.0,-13.0,CFU Caribbean Cup,True,False,home_win,1994-04-17,1994
1612.0,1196.0,416.0,Friendly,True,False,draw,1994-04-17,1994
1402.0,1412.0,-10.0,CFU Caribbean Cup,False,False,home_win,1994-04-17,1994
1540.0,1490.0,50.0,Friendly,False,False,home_win,1994-04-18,1994
1377.0,1570.0,-193.0,Friendly,False,False,home_win,1994-04-19,1994
1644.0,1196.0,448.0,Friendly,False,False,home_win,1994-04-19,1994
1972.0,1573.0,399.0,Friendly,False,False,home_win,1994-04-20,1994
1606.0,1786.0,-180.0,Friendly,False,False,away_win,1994-04-20,1994
1899.0,1723.0,176.0,Friendly,False,False,home_win,1994-04-20,1994
1564.0,1490.0,74.0,Friendly,True,False,away_win,1994-04-20,1994
1358.0,1570.0,-212.0,Friendly,False,False,draw,1994-04-20,1994
1956.0,1887.0,69.0,Friendly,False,False,away_win,1994-04-20,1994
1758.0,1786.0,-28.0,Friendly,False,False,draw,1994-04-20,1994
1823.0,1713.0,110.0,Friendly,False,False,home_win,1994-04-20,1994
1664.0,1887.0,-223.0,Friendly,False,False,home_win,1994-04-20,1994
1567.0,1881.0,-314.0,Friendly,False,False,away_win,1994-04-20,1994
1781.0,1811.0,-30.0,Friendly,False,False,away_win,1994-04-20,1994
1694.0,1564.0,130.0,Friendly,False,False,away_win,1994-04-24,1994
1666.0,1490.0,176.0,Friendly,False,False,home_win,1994-04-27,1994
1524.0,1995.0,-471.0,Friendly,False,False,away_win,1994-04-27,1994
1491.0,1803.0,-312.0,Friendly,False,False,draw,1994-04-28,1994
1694.0,1776.0,-82.0,Friendly,False,False,away_win,1994-04-30,1994
1748.0,1663.0,85.0,Friendly,False,False,draw,1994-05-01,1994
1872.0,1550.0,322.0,Miami Cup,True,False,home_win,1994-05-03,1994
1415.0,1515.0,-100.0,Miami Cup,True,False,home_win,1994-05-03,1994
1748.0,1663.0,85.0,Friendly,False,False,home_win,1994-05-03,1994
1713.0,1490.0,223.0,Friendly,True,False,home_win,1994-05-04,1994
1928.0,1564.0,364.0,Friendly,False,False,home_win,1994-05-04,1994
1797.0,1723.0,74.0,Friendly,False,False,home_win,1994-05-04,1994
1872.0,1415.0,457.0,Miami Cup,True,False,home_win,1994-05-05,1994
1515.0,1550.0,-35.0,Miami Cup,True,False,home_win,1994-05-05,1994
1811.0,1622.0,189.0,Friendly,False,False,home_win,1994-05-05,1994
1694.0,1253.0,441.0,Friendly,False,False,home_win,1994-05-07,1994
1666.0,1663.0,3.0,Friendly,False,False,away_win,1994-05-09,1994
1713.0,1663.0,50.0,Friendly,True,False,draw,1994-05-11,1994
1666.0,1713.0,-47.0,Friendly,False,False,draw,1994-05-13,1994
1622.0,1360.0,262.0,Friendly,True,False,home_win,1994-05-14,1994
1694.0,1251.0,443.0,Friendly,False,False,home_win,1994-05-15,1994
1940.0,1666.0,274.0,Friendly,False,False,home_win,1994-05-17,1994
1797.0,1606.0,191.0,Friendly,False,False,away_win,1994-05-17,1994
1776.0,1972.0,-196.0,Friendly,False,False,draw,1994-05-18,1994
1723.0,1887.0,-164.0,Friendly,False,False,draw,1994-05-18,1994
1564.0,1713.0,-149.0,Friendly,False,False,home_win,1994-05-19,1994
1940.0,1758.0,182.0,Friendly,False,False,draw,1994-05-22,1994
1589.0,1712.0,-123.0,Kirin Cup,False,False,draw,1994-05-22,1994
1253.0,1781.0,-528.0,Friendly,False,False,away_win,1994-05-23,1994
1253.0,1467.0,-214.0,Friendly,False,False,draw,1994-05-23,1994
1887.0,1713.0,174.0,Friendly,False,False,home_win,1994-05-24,1994
1776.0,1550.0,226.0,Friendly,False,False,home_win,1994-05-25,1994
1823.0,1622.0,201.0,Friendly,False,False,home_win,1994-05-25,1994
1589.0,1972.0,-383.0,Friendly,False,False,home_win,1994-05-25,1994
1253.0,1467.0,-214.0,Friendly,False,False,home_win,1994-05-25,1994
1601.0,1490.0,111.0,Friendly,False,False,draw,1994-05-25,1994
1712.0,1894.0,-182.0,Kirin Cup,True,False,away_win,1994-05-26,1994
1899.0,1811.0,88.0,Friendly,False,False,home_win,1994-05-26,1994
1982.0,1620.0,362.0,Friendly,False,False,home_win,1994-05-27,1994
1956.0,1786.0,170.0,Friendly,False,False,home_win,1994-05-27,1994
1601.0,1666.0,-65.0,Friendly,False,False,draw,1994-05-28,1994
1995.0,1887.0,108.0,Friendly,False,False,away_win,1994-05-29,1994
1589.0,1894.0,-305.0,Kirin Cup,False,False,away_win,1994-05-29,1994
1881.0,1664.0,217.0,Friendly,False,False,home_win,1994-05-29,1994
1570.0,1972.0,-402.0,Friendly,False,False,away_win,1994-05-31,1994
1556.0,1573.0,-17.0,Friendly,False,False,draw,1994-06-01,1994
1956.0,1723.0,233.0,Friendly,False,False,home_win,1994-06-01,1994
1758.0,1899.0,-141.0,Friendly,False,False,home_win,1994-06-01,1994
1620.0,1830.0,-210.0,Friendly,False,False,away_win,1994-06-02,1994
1399.0,1377.0,22.0,Friendly,False,False,home_win,1994-06-02,1994
1606.0,1995.0,-389.0,Friendly,False,False,away_win,1994-06-02,1994
1872.0,1664.0,208.0,Friendly,True,False,home_win,1994-06-03,1994
1982.0,1813.0,169.0,Friendly,False,False,home_win,1994-06-03,1994
1887.0,1972.0,-85.0,Friendly,False,False,draw,1994-06-04,1994
1402.0,1490.0,-88.0,Friendly,True,False,away_win,1994-06-04,1994
1601.0,1814.0,-213.0,Friendly,False,False,home_win,1994-06-04,1994
1589.0,1748.0,-159.0,Friendly,True,False,home_win,1994-06-05,1994
1556.0,1928.0,-372.0,Friendly,False,False,draw,1994-06-05,1994
1872.0,1666.0,206.0,Friendly,True,False,home_win,1994-06-05,1994
1648.0,1264.0,384.0,Friendly,False,False,home_win,1994-06-05,1994
1811.0,1758.0,53.0,Friendly,False,False,home_win,1994-06-05,1994
1858.0,1723.0,135.0,Friendly,False,False,home_win,1994-06-08,1994
1713.0,1550.0,163.0,Friendly,False,False,draw,1994-06-08,1994
1556.0,1995.0,-439.0,Friendly,False,False,away_win,1994-06-08,1994
1515.0,1928.0,-413.0,Friendly,True,False,away_win,1994-06-08,1994
1556.0,1830.0,-274.0,Friendly,False,False,away_win,1994-06-10,1994
1684.0,1982.0,-298.0,Friendly,True,False,away_win,1994-06-11,1994
1814.0,1664.0,150.0,Friendly,True,False,home_win,1994-06-11,1994
1713.0,1813.0,-100.0,Friendly,True,False,draw,1994-06-11,1994
1622.0,1581.0,41.0,Friendly,False,False,home_win,1994-06-11,1994
1515.0,1748.0,-233.0,Friendly,True,False,away_win,1994-06-11,1994
1556.0,1956.0,-400.0,Friendly,False,False,away_win,1994-06-12,1994
1823.0,1811.0,12.0,Friendly,True,False,draw,1994-06-12,1994
1415.0,1928.0,-513.0,Friendly,True,False,away_win,1994-06-12,1994
1995.0,1713.0,282.0,FIFA World Cup,True,True,home_win,1994-06-17,1994
1830.0,1748.0,82.0,FIFA World Cup,True,True,draw,1994-06-17,1994
1872.0,1823.0,49.0,FIFA World Cup,True,True,away_win,1994-06-18,1994
1982.0,1887.0,95.0,FIFA World Cup,True,True,away_win,1994-06-18,1994
