elo_diff,tournament,neutral,is_world_cup,match_result,date,year
162.0,African Cup of Nations,True,False,away_win,1994-04-02,1994
-26.0,African Cup of Nations,True,False,away_win,1994-04-03,1994
136.0,African Cup of Nations,True,False,home_win,1994-04-03,1994
-26.0,African Cup of Nations,True,False,draw,1994-04-06,1994
87.0,African Cup of Nations,True,False,home_win,1994-04-06,1994
-551.0,CFU Caribbean Cup,True,False,away_win,1994-04-07,1994
159.0,Friendly,False,False,away_win,1994-04-07,1994
52.0,CFU Caribbean Cup,True,False,home_win,1994-04-07,1994
-177.0,CFU Caribbean Cup,True,False,home_win,1994-04-09,1994
322.0,CFU Caribbean Cup,True,False,home_win,1994-04-09,1994
147.0,African Cup of Nations,True,False,home_win,1994-04-10,1994
34.0,African Cup of Nations,True,False,home_win,1994-04-10,1994
374.0,CFU Caribbean Cup,True,False,draw,1994-04-11,1994
-229.0,CFU Caribbean Cup,True,False,draw,1994-04-11,1994
135.0,Friendly,False,False,home_win,1994-04-11,1994
-313.0,Friendly,True,False,away_win,1994-04-13,1994
307.0,Friendly,True,False,home_win,1994-04-13,1994
32.0,Friendly,False,False,home_win,1994-04-13,1994
65.0,CFU Caribbean Cup,True,False,home_win,1994-04-14,1994
42.0,CFU Caribbean Cup,False,False,home_win,1994-04-14,1994
103.0,Friendly,True,False,draw,1994-04-15,1994
250.0,Friendly,False,False,home_win,1994-04-17,1994
-13.0,CFU Caribbean Cup,True,False,home_win,1994-04-17,1994
416.0,Friendly,True,False,draw,1994-04-17,1994
-10.0,CFU Caribbean Cup,False,False,home_win,1994-04-17,1994
50.0,Friendly,False,False,home_win,1994-04-18,1994
448.0,Friendly,False,False,home_win,1994-04-19,1994
-193.0,Friendly,False,False,home_win,1994-04-19,1994
176.0,Friendly,False,False,home_win,1994-04-20,1994
399.0,Friendly,False,False,home_win,1994-04-20,1994
-180.0,Friendly,False,False,away_win,1994-04-20,1994
-212.0,Friendly,False,False,draw,1994-04-20,1994
69.0,Friendly,False,False,away_win,1994-04-20,1994
74.0,Friendly,True,False,away_win,1994-04-20,1994
-28.0,Friendly,False,False,draw,1994-04-20,1994
110.0,Friendly,False,False,home_win,1994-04-20,1994
-314.0,Friendly,False,False,away_win,1994-04-20,1994
-30.0,Friendly,False,False,away_win,1994-04-20,1994
-223.0,Friendly,False,False,home_win,1994-04-20,1994
130.0,Friendly,False,False,away_win,1994-04-24,1994
176.0,Friendly,False,False,home_win,1994-04-27,1994
-471.0,Friendly,False,False,away_win,1994-04-27,1994
-312.0,Friendly,False,False,draw,1994-04-28,1994
-82.0,Friendly,False,False,away_win,1994-04-30,1994
85.0,Friendly,False,False,draw,1994-05-01,1994
322.0,Miami Cup,True,False,home_win,1994-05-03,1994
-100.0,Miami Cup,True,False,home_win,1994-05-03,1994
85.0,Friendly,False,False,home_win,1994-05-03,1994
223.0,Friendly,True,False,home_win,1994-05-04,1994
364.0,Friendly,False,False,home_win,1994-05-04,1994
74.0,Friendly,False,False,home_win,1994-05-04,1994
457.0,Miami Cup,True,False,home_win,1994-05-05,1994
-35.0,Miami Cup,True,False,home_win,1994-05-05,1994
189.0,Friendly,False,False,home_win,1994-05-05,1994
441.0,Friendly,False,False,home_win,1994-05-07,1994
3.0,Friendly,False,False,away_win,1994-05-09,1994
50.0,Friendly,True,False,draw,1994-05-11,1994
-47.0,Friendly,False,False,draw,1994-05-13,1994
262.0,Friendly,True,False,home_win,1994-05-14,1994
443.0,Friendly,False,False,home_win,1994-05-15,1994
274.0,Friendly,False,False,home_win,1994-05-17,1994
191.0,Friendly,False,False,away_win,1994-05-17,1994
-196.0,Friendly,False,False,draw,1994-05-18,1994
-164.0,Friendly,False,False,draw,1994-05-18,1994
-149.0,Friendly,False,False,home_win,1994-05-19,1994
182.0,Friendly,False,False,draw,1994-05-22,1994
-123.0,Kirin Cup,False,False,draw,1994-05-22,1994
-528.0,Friendly,False,False,away_win,1994-05-23,1994
-214.0,Friendly,False,False,draw,1994-05-23,1994
174.0,Friendly,False,False,home_win,1994-05-24,1994
201.0,Friendly,False,False,home_win,1994-05-25,1994
226.0,Friendly,False,False,home_win,1994-05-25,1994
-214.0,Friendly,False,False,home_win,1994-05-25,1994
111.0,Friendly,False,False,draw,1994-05-25,1994
-383.0,Friendly,False,False,home_win,1994-05-25,1994
-182.0,Kirin Cup,True,False,away_win,1994-05-26,1994
88.0,Friendly,False,False,home_win,1994-05-26,1994
362.0,Friendly,False,False,home_win,1994-05-27,1994
170.0,Friendly,False,False,home_win,1994-05-27,1994
-65.0,Friendly,False,False,draw,1994-05-28,1994
-305.0,Kirin Cup,False,False,away_win,1994-05-29,1994
217.0,Friendly,False,False,home_win,1994-05-29,1994
108.0,Friendly,False,False,away_win,1994-05-29,1994
-402.0,Friendly,False,False,away_win,1994-05-31,1994
-17.0,Friendly,False,False,draw,1994-06-01,1994
-141.0,Friendly,False,False,home_win,1994-06-01,1994
233.0,Friendly,False,False,home_win,1994-06-01,1994
-389.0,Friendly,False,False,away_win,1994-06-02,1994
-210.0,Friendly,False,False,away_win,1994-06-02,1994
22.0,Friendly,False,False,home_win,1994-06-02,1994
208.0,Friendly,True,False,home_win,1994-06-03,1994
169.0,Friendly,False,False,home_win,1994-06-03,1994
-85.0,Friendly,False,False,draw,1994-06-04,1994
-88.0,Friendly,True,False,away_win,1994-06-04,1994
-213.0,Friendly,False,False,home_win,1994-06-04,1994
-159.0,Friendly,True,False,home_win,1994-06-05,1994
-372.0,Friendly,False,False,draw,1994-06-05,1994
206.0,Friendly,True,False,home_win,1994-06-05,1994
384.0,Friendly,False,False,home_win,1994-06-05,1994
53.0,Friendly,False,False,home_win,1994-06-05,1994
135.0,Friendly,False,False,home_win,1994-06-08,1994
163.0,Friendly,False,False,draw,1994-06-08,1994
-439.0,Friendly,False,False,away_win,1994-06-08,1994
-413.0,Friendly,True,False,away_win,1994-06-08,1994
-274.0,Friendly,False,False,away_win,1994-06-10,1994
-298.0,Friendly,True,False,away_win,1994-06-11,1994
150.0,Friendly,True,False,home_win,1994-06-11,1994
-100.0,Friendly,True,False,draw,1994-06-11,1994
41.0,Friendly,False,False,home_win,1994-06-11,1994
-233.0,Friendly,True,False,away_win,1994-06-11,1994
-400.0,Friendly,False,False,away_win,1994-06-12,1994
-513.0,Friendly,True,False,away_win,1994-06-12,1994
12.0,Friendly,True,False,draw,1994-06-12,1994
282.0,FIFA World Cup,True,True,home_win,1994-06-17,1994
82.0,FIFA World Cup,True,True,draw,1994-06-17,1994
95.0,FIFA World Cup,True,True,away_win,1994-06-18,1994
-212.0,FIFA World Cup,False,True,draw,1994-06-18,1994
49.0,FIFA World Cup,True,True,away_win,1994-06-18,1994
-148.0,FIFA World Cup,True,True,draw,1994-06-19,1994
-56.0,FIFA World Cup,True,True,home_win,1994-06-19,1994
285.0,FIFA World Cup,True,True,home_win,1994-06-19,1994
47.0,FIFA World Cup,True,True,home_win,1994-06-20,1994
466.0,FIFA World Cup,True,True,home_win,1994-06-20,1994
306.0,FIFA World Cup,True,True,home_win,1994-06-21,1994
165.0,FIFA World Cup,True,True,draw,1994-06-21,1994
-181.0,FIFA World Cup,True,True,home_win,1994-06-21,1994
10.0,FIFA World Cup,True,True,away_win,1994-06-22,1994
-271.0,FIFA World Cup,False,True,home_win,1994-06-22,1994
224.0,FIFA World Cup,True,True,home_win,1994-06-23,1994
35.0,FIFA World Cup,True,True,draw,1994-06-23,1994
-70.0,FIFA World Cup,True,True,home_win,1994-06-24,1994
265.0,FIFA World Cup,True,True,home_win,1994-06-24,1994
-73.0,FIFA World Cup,True,True,home_win,1994-06-24,1994
350.0,FIFA World Cup,True,True,home_win,1994-06-25,1994
-98.0,FIFA World Cup,True,True,home_win,1994-06-25,1994
-83.0,FIFA World Cup,True,True,home_win,1994-06-25,1994
137.0,FIFA World Cup,True,True,home_win,1994-06-26,1994
-182.0,Friendly,False,False,away_win,1994-06-26,1994
-59.0,FIFA World Cup,True,True,away_win,1994-06-26,1994
-222.0,FIFA World Cup,False,True,away_win,1994-06-26,1994
-117.0,FIFA World Cup,True,True,away_win,1994-06-27,1994
247.0,FIFA World Cup,True,True,home_win,1994-06-27,1994
129.0,FIFA World Cup,True,True,draw,1994-06-28,1994
117.0,FIFA World Cup,True,True,draw,1994-06-28,1994
218.0,FIFA World Cup,True,True,home_win,1994-06-28,1994
168.0,FIFA World Cup,True,True,draw,1994-06-28,1994
368.0,FIFA World Cup,True,True,away_win,1994-06-29,1994
-383.0,FIFA World Cup,True,True,away_win,1994-06-29,1994
169.0,FIFA World Cup,True,True,away_win,1994-06-30,1994
44.0,FIFA World Cup,True,True,away_win,1994-06-30,1994
137.0,FIFA World Cup,True,True,home_win,1994-07-02,1994
17.0,FIFA World Cup,True,True,home_win,1994-07-02,1994
-149.0,FIFA World Cup,True,True,home_win,1994-07-03,1994
-321.0,FIFA World Cup,True,True,away_win,1994-07-03,1994
69.0,FIFA World Cup,True,True,home_win,1994-07-04,1994
-327.0,FIFA World Cup,False,True,away_win,1994-07-04,1994
1.0,Melanesia Cup,True,False,home_win,1994-07-04,1994
11.0,FIFA World Cup,True,True,draw,1994-07-05,1994
-360.0,FIFA World Cup,True,True,away_win,1994-07-05,1994
-207.0,Melanesia Cup,True,False,away_win,1994-07-05,1994
-422.0,Melanesia Cup,True,False,away_win,1994-07-08,1994
-33.0,Friendly,False,False,home_win,1994-07-08,1994
1.0,Melanesia Cup,False,False,home_win,1994-07-08,1994
152.0,FIFA World Cup,True,True,home_win,1994-07-09,1994
28.0,FIFA World Cup,True,True,away_win,1994-07-09,1994
-192.0,FIFA World Cup,True,True,home_win,1994-07-10,1994
12.0,FIFA World Cup,True,True,draw,1994-07-10,1994
-179.0,FIFA World Cup,True,True,away_win,1994-07-13,1994
-117.0,FIFA World Cup,True,True,away_win,1994-07-13,1994
-33.0,Friendly,False,False,home_win,1994-07-14,1994
