date,year,home_team,away_team,home_team_clean,away_team_clean,home_score,away_score,match_result,tournament,city,country,neutral,is_world_cup,home_elo,away_elo,elo_diff,goal_diff,abs_goal_diff,total_goals,home_elo_last_5,away_elo_last_5,elo_last_5_diff,home_goal_difference_last_5,away_goal_difference_last_5,goal_difference_last_5_diff
2026-06-27,2026,Colombia,Portugal,Colombia,Portugal,0,0,draw,FIFA World Cup,Miami Gardens,United States,True,True,1998.0,1976.0,22.0,0,0,0,1998.0,1976.0,22.0,1.0,1.8,-0.8
2026-06-27,2026,DR Congo,Uzbekistan,Democratic Republic of Congo,Uzbekistan,3,1,home_win,FIFA World Cup,Atlanta,United States,True,True,1616.0,1735.0,-119.0,2,2,4,1616.0,1735.0,-119.0,-0.2,-2.0,1.8
2026-06-27,2026,Panama,England,Panama,England,0,2,away_win,FIFA World Cup,East Rutherford,United States,True,True,1742.0,2042.0,-300.0,-2,2,2,1742.0,2042.0,-300.0,-0.8,1.0,-1.8
2026-06-27,2026,Croatia,Ghana,Croatia,Ghana,2,1,home_win,FIFA World Cup,Philadelphia,United States,True,True,1933.0,1509.0,424.0,1,1,3,1933.0,1509.0,424.0,-0.8,-0.4,-0.4
2026-06-28,2026,South Africa,Canada,South Africa,Canada,0,1,away_win,FIFA World Cup,Inglewood,United States,True,True,1531.0,1802.0,-271.0,-1,1,1,1531.0,1802.0,-271.0,0.0,1.4,-1.4
2026-06-29,2026,Netherlands,Morocco,Netherlands,Morocco,1,1,draw,FIFA World Cup,Guadalupe,Mexico,True,True,1959.0,1830.0,129.0,0,0,2,1959.0,1830.0,129.0,1.2,1.4,-0.19999999999999996
2026-06-29,2026,Germany,Paraguay,Germany,Paraguay,1,1,draw,FIFA World Cup,Foxborough,United States,True,True,1910.0,1833.0,77.0,0,0,2,1910.0,1833.0,77.0,2.2,0.2,2.0
2026-06-29,2026,Brazil,Japan,Brazil,Japan,2,1,home_win,FIFA World Cup,Houston,United States,True,True,1979.0,1878.0,101.0,1,1,3,1979.0,1878.0,101.0,2.2,1.2,1.0000000000000002
2026-06-30,2026,Ivory Coast,Norway,Ivory Coast,Norway,1,2,away_win,FIFA World Cup,Arlington,United States,True,True,1607.0,1922.0,-315.0,-1,1,3,1607.0,1922.0,-315.0,0.8,0.6,0.20000000000000007
2026-06-30,2026,France,Sweden,France,Sweden,3,0,home_win,FIFA World Cup,East Rutherford,United States,True,True,2062.0,1660.0,402.0,3,3,3,2062.0,1660.0,402.0,1.8,-0.4,2.2
2026-06-30,2026,Mexico,Ecuador,Mexico,Ecuador,2,0,home_win,FIFA World Cup,Mexico City,Mexico,False,True,1835.0,1933.0,-98.0,2,2,2,1835.0,1933.0,-98.0,2.2,0.8,1.4000000000000001
2026-07-01,2026,England,DR Congo,England,Democratic Republic of Congo,2,1,home_win,FIFA World Cup,Atlanta,United States,True,True,2042.0,1616.0,426.0,1,1,3,2042.0,1616.0,426.0,1.6,0.0,1.6
2026-07-01,2026,Belgium,Senegal,Belgium,Senegal,3,2,home_win,FIFA World Cup,Seattle,United States,True,True,1849.0,1803.0,46.0,1,1,5,1849.0,1803.0,46.0,2.2,0.2,2.0
2026-07-01,2026,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina,2,0,home_win,FIFA World Cup,Santa Clara,United States,False,True,1747.0,1571.0,176.0,2,2,2,1747.0,1571.0,176.0,0.8,-0.2,1.0
2026-07-02,2026,Spain,Austria,Spain,Austria,3,0,home_win,FIFA World Cup,Inglewood,United States,True,True,2171.0,1818.0,353.0,3,3,3,2171.0,1818.0,353.0,1.4,0.4,0.9999999999999999
2026-07-02,2026,Portugal,Croatia,Portugal,Croatia,2,1,home_win,FIFA World Cup,Toronto,Canada,True,True,1976.0,1933.0,43.0,1,1,3,1976.0,1933.0,43.0,1.4,-0.2,1.5999999999999999
2026-07-02,2026,Switzerland,Algeria,Switzerland,Algeria,2,0,home_win,FIFA World Cup,Vancouver,Canada,True,True,1897.0,1726.0,171.0,2,2,2,1897.0,1726.0,171.0,1.4,0.6,0.7999999999999999
2026-07-03,2026,Colombia,Ghana,Colombia,Ghana,1,0,home_win,FIFA World Cup,Kansas City,United States,True,True,1998.0,1509.0,489.0,1,1,1,1998.0,1509.0,489.0,1.4,-0.4,1.7999999999999998
2026-07-03,2026,Argentina,Cape Verde,Argentina,Cape Verde,3,2,home_win,FIFA World Cup,Miami Gardens,United States,True,True,2113.0,1560.0,553.0,1,1,5,2113.0,1560.0,553.0,2.4,0.0,2.4
2026-07-03,2026,Australia,Egypt,Australia,Egypt,1,1,draw,FIFA World Cup,Arlington,United States,True,True,1774.0,1591.0,183.0,0,0,2,1774.0,1591.0,183.0,-0.2,0.4,-0.6000000000000001
2026-07-04,2026,Canada,Morocco,Canada,Morocco,0,3,away_win,FIFA World Cup,Houston,United States,True,True,1802.0,1830.0,-28.0,-3,3,3,1802.0,1830.0,-28.0,1.2,0.6,0.6
2026-07-04,2026,Paraguay,France,Paraguay,France,0,1,away_win,FIFA World Cup,Philadelphia,United States,True,True,1833.0,2062.0,-229.0,-1,1,1,1833.0,2062.0,-229.0,0.4,2.6,-2.2
2026-07-05,2026,Brazil,Norway,Brazil,Norway,1,2,away_win,FIFA World Cup,East Rutherford,United States,True,True,1979.0,1922.0,57.0,-1,1,3,1979.0,1922.0,57.0,1.6,0.4,1.2000000000000002
