home_elo,away_elo,elo_diff,points_last_5_diff,goal_difference_last_5_diff,knockout_stage
2084.0,1536.0,548.0,1.0000000000000002,2.8000000000000003,0
1926.0,1814.0,112.0,0.40000000000000013,2.0,0
1767.0,1672.0,95.0,1.2000000000000002,2.0,0
1839.0,1872.0,-33.0,-0.8,-1.2000000000000002,0
1807.0,1874.0,-67.0,0.0,-0.20000000000000018,0
1865.0,1621.0,244.0,2.0,1.5999999999999999,0
1707.0,1558.0,149.0,-0.2,0.8,0
2071.0,1724.0,347.0,0.40000000000000013,0.8,1
1991.0,1817.0,174.0,-0.20000000000000018,-1.0,1
1622.0,1968.0,-346.0,0.3999999999999999,-0.5999999999999999,1
2038.0,1843.0,195.0,1.6,1.8,1
1926.0,,,0.0,2.0,1
2084.0,1814.0,270.0,0.8,2.0,1
1807.0,1872.0,-65.0,1.0,1.2,1
1865.0,1874.0,-9.0,0.20000000000000018,-0.8000000000000003,1
2071.0,1968.0,103.0,1.0,1.4,1
2038.0,1991.0,47.0,1.0,1.2,1
2084.0,1874.0,210.0,0.20000000000000018,0.3999999999999999,1
1926.0,1807.0,119.0,-0.3999999999999999,0.19999999999999996,1
2071.0,1926.0,145.0,0.19999999999999973,0.0,1
2038.0,1874.0,164.0,0.20000000000000018,0.6000000000000001,1
1926.0,1874.0,52.0,0.40000000000000013,0.7999999999999999,1
2038.0,2071.0,-33.0,0.6000000000000001,0.19999999999999996,1
2112.0,1540.0,572.0,0.0,0.7999999999999999,0
1876.0,1700.0,176.0,0.0,2.2,0
1872.0,1663.0,209.0,1.0,1.0,0
1792.0,1858.0,-66.0,-1.0,-0.2,0
1935.0,1888.0,47.0,0.3999999999999999,0.8,0
2013.0,1657.0,356.0,-0.8,-0.6,0
1965.0,1716.0,249.0,0.3999999999999999,1.5999999999999999,0
1717.0,1679.0,38.0,-1.2000000000000002,-2.4,0
2019.0,1678.0,341.0,0.20000000000000018,-0.2,0
2016.0,1755.0,261.0,1.2000000000000002,1.5999999999999999,0
1878.0,1815.0,63.0,-0.5999999999999999,-0.3999999999999999,0
1707.0,1838.0,-131.0,-1.0000000000000002,-1.0,0
1693.0,1759.0,-66.0,-0.19999999999999996,0.4,0
1565.0,1740.0,-175.0,0.2,0.19999999999999996,0
1876.0,1872.0,4.0,-0.19999999999999996,2.4,0
1829.0,1621.0,208.0,0.0,-0.19999999999999996,0
1798.0,2011.0,-213.0,-0.40000000000000013,-0.39999999999999997,0
1858.0,1540.0,318.0,0.3999999999999999,0.0,0
1663.0,1700.0,-37.0,-1.0,1.2,0
2112.0,1792.0,320.0,0.0,0.6000000000000001,0
